Karmarkar_Karp 	 repeatedRandom 	 hillClimbing 	 simulatedAnnealing 	 PPrepeatedRandom 	 PPhillClimbing 	 PPsimulatedAnnealing
120599	286879153	91553041	49503727	189	867	127
81908	540008628	621221382	884605482	346	976	284
226568	527307026	913768122	109911532	72	636	40
152663	553254027	271283767	79471343	27	1677	221
267997	633418027	598732483	792693231	59	5255	57
239959	110848269	307706123	353602197	55	13	231
381123	316732461	141915055	48157527	27	587	187
114008	164170416	268243322	689364782	72	2	52
169627	168306103	316238683	351815059	85	209	431
452571	14386951	409539405	203690077	27	1521	33
8483	141091317	268462965	143452627	245	537	155
88072	364248254	165794922	1053106442	46	600	68
97072	522290940	245991034	306604556	510	198	170
66875	103290213	2328355	119319971	41	533	3
77113	286781337	187686441	185223225	155	1591	171
494650	142543580	21832040	515639510	30	148	228
802793	13018061	806420733	90041111	15	539	127
35106	327796454	150697024	92940044	64	308	228
5871	479680795	66592655	146411355	61	997	81
250808	528063794	144890806	70686274	14	154	150
106549	1155878253	254601423	52605363	173	173	147
10186	3209912	130268188	596311300	122	38	168
92580	120836326	332764256	547209248	218	724	166
865570	277601850	454374186	317156496	28	950	64
107961	685025029	107043217	103603799	33	649	145
14185	21514801	209130943	8912981	295	743	67
30692	150955418	263070602	31701418	82	878	224
24360	630512028	334549198	119765182	8	572	82
8524	493997720	163493088	45975192	166	712	268
302997	418386055	496856421	115897301	79	385	27
283	267257491	67798269	10823251	3	75	185
46721	59448477	6435289	101038343	43	283	511
271354	905646412	51451250	37841220	304	920	120
115370	39715340	4398952	115559124	42	78	222
488140	178602194	340595600	564848614	62	220	196
88483	81550023	22836419	108562187	139	1639	21
185573	915437575	72904031	190980157	47	347	387
870728	65779238	227104860	231047524	148	338	56
74669	64353123	166458501	509297579	231	1681	23
51191	29882111	926860715	15622163	201	553	43
88476	32829172	11146604	355051432	236	52	68
83173	307514543	74250173	126773581	243	13	137
4977	189954027	212125733	160343079	231	261	65
290908	27588364	603234228	131974564	8	90	164
1022880	92968552	81984396	857066096	156	356	52
691306	90821916	63342054	111730838	286	1076	4
14173	746616591	19473109	120875391	11	515	3
327579	571110885	341397995	167358503	53	4121	41
261639	993733133	1481389429	132340429	47	323	241
197011	456336349	162749717	25654987	19	179	53
36073	172570343	165852885	146163953	51	549	79
84115	209624115	70766515	70233195	5	885	11
5866	263717784	83617602	227143376	82	266	44
111870	454665414	27975708	107122848	12	3242	378
152407	318376449	79210185	302988303	271	497	113
52445	221652007	4322237	41972875	101	149	299
670838	38486966	756484570	173323318	58	1144	44
199638	314560334	567078052	398452508	84	238	68
35734	513323236	557854132	205770798	104	3064	150
38163	569008987	90247467	287492681	27	887	247
129942	174533198	17783862	58037178	152	182	8
266090	588864610	39242894	98611156	44	344	34
336068	795974318	259049674	13328436	14	68	390
177204	70982450	641098774	707606	232	1254	18
657236	75746382	199933526	910162540	98	236	48
97099	515639063	19100405	93103567	187	2529	11
16803	510310173	500879263	66348297	33	2717	323
94565	50008701	176974001	17662665	19	789	667
34067	91906927	137667741	418884837	31	1641	119
226732	917521348	8189644	180887320	10	2556	64
4897	289586785	271996231	136109841	455	1983	85
75216	31304536	126351584	309118754	76	856	20
76674	86857504	759555056	46322120	214	964	100
11639	944252505	275939469	358087363	111	191	21
111853	426035151	595730081	504555879	347	1133	243
115715	53568407	711402525	201383709	61	391	31
1147796	323750892	461459568	1454955982	40	74	374
1211165	736843535	632581745	484667813	19	1215	97
49619	314665859	923103721	434342563	307	79	11
697238	902573924	38458716	201988598	260	1356	550
104191	6313635	316988569	511395953	555	163	587
325255	114879593	168172131	376401963	55	817	89
95793	237820877	484418023	790154963	9	679	7
91446	301153604	127895604	474105966	150	442	378
72773	418119949	230423811	53534601	321	535	53
103438	35564848	256548500	244575954	86	2726	14
314247	52355533	170526147	112524397	223	553	259
513992	200830010	108618124	110344758	408	1582	500
135947	133429691	282993323	561722461	213	379	411
7349	136713375	3056877	26937059	291	1055	49
166496	387034704	109720118	3504656	110	1206	198
7651	186691159	515654745	383945911	47	1253	185
16255	329184007	86644853	570963447	149	273	55
281274	82107462	737147614	511789312	142	2786	330
116296	48659132	179337008	32831432	148	148	2
673378	39137006	410417708	236520186	184	1240	160
431730	259615286	600540138	402541780	348	104	100
131174	115582282	694748680	26840640	250	116	78
303270	457333248	485222408	382251806	386	88	40
11158	535455380	161702208	1830230088	74	1332	432
