Karmarkar_Karp 	 repeatedRandom 	 hillClimbing 	 simulatedAnnealing 	 PPrepeatedRandom 	 PPhillClimbing 	 PPsimulatedAnnealing
136	373852	125434	129370	2751221	2454710	2573960
124	365257	125000	126132	2806694	2464187	2581281
129	384286	126453	133142	2862539	2766142	2663737
130	380736	127533	133039	2940244	2629889	2647405
99	371960	133074	132993	2951688	2526313	2670073
97	375185	125935	131157	2957434	2664588	2695126
106	386197	131967	134390	2889757	2709187	2642110
103	381101	138044	129963	2920983	2660784	2686667
92	371173	125727	127709	2812322	2604997	2645460
105	368790	135165	135820	2892425	2640740	2686262
105	385786	126697	129145	2854735	2539879	2648754
94	373549	128610	141535	2891963	2658638	2644017
140	364503	124176	137624	2843933	2498939	2680249
117	382318	132553	135698	2865425	2563712	2653396
128	368965	132616	125258	2832691	2622289	2635476
136	368657	128785	131407	2788802	2517148	2620488
98	363325	128025	124145	2818836	2563241	2640434
134	381502	131750	127665	2854450	2551075	2613488
106	373756	125629	131082	2813995	2533676	2596769
133	364796	123194	131680	2830587	2621891	2597960
106	379386	125374	127472	2819415	2590527	2592432
98	379342	124892	132586	2819092	2468023	2582709
137	373016	136962	129842	2811796	2642487	2635465
115	359307	131880	132905	2816931	2623097	2580539
98	364840	126962	123535	2798338	2607222	2605550
103	380739	125964	129675	2807800	2540928	2622047
105	363518	131071	131029	2796339	2733602	2623631
116	374865	119807	130096	2799335	2554844	2642734
112	370217	128980	126458	2777523	2524080	2626115
123	367330	126049	127465	2797199	2663032	2595812
132	371910	127992	122757	2805458	2632897	2583869
103	365037	125938	124965	2814481	2575681	2621597
101	378465	121084	122846	2784204	2549265	2587748
121	368896	127567	129918	2785182	2731711	2612388
102	374836	131405	129913	2821940	2581414	2617139
104	362152	135507	131344	2810899	2463385	2532560
127	369799	127746	128652	2793822	2619933	2619466
108	364053	133445	120183	2800533	2546104	2584985
101	365038	129747	127610	2861171	2540742	2630548
98	365612	131957	128614	2797150	2619988	2671478
135	383519	125276	123342	2777073	2570069	2561364
175	369158	127618	125107	2807681	2537808	2612460
108	366742	119755	128922	2848145	2611953	2631620
145	370945	128927	133480	2750654	2477456	2564215
141	380922	122847	128104	2814755	2722871	2598579
132	357625	121055	126012	2792296	2537533	2610643
99	362058	121105	125308	2800502	2553512	2650947
98	367419	126777	123847	2813180	2478304	2560501
106	376631	127137	138945	2808516	2578196	2588793
101	371368	121225	123348	2815177	2571282	2601943
131	374607	222953	133403	2789336	2608477	2588173
115	365333	125833	128840	2815391	2618563	2578552
129	376800	124078	129030	2806002	2563985	2721693
101	376379	131248	143855	3018762	2875592	2783739
108	384746	134047	135087	2998388	2514912	2622990
136	372346	128062	125755	2808928	2589271	2603499
127	363654	120508	124378	2814847	2522336	2629924
115	368964	124510	132103	2813337	2566312	2636387
139	370208	128582	124674	2811271	2531822	2619261
155	377015	128895	131224	2799562	2654688	2617724
104	369956	129166	128474	2818152	2660360	2638902
110	376111	122260	127519	2840589	2526127	2611208
101	373880	122815	128109	2793585	2716949	2638305
96	380941	125465	134327	2903827	2691115	2999634
106	423174	165657	152297	3472026	3223238	3010173
101	395118	141706	144382	3602140	3095834	2932668
128	426434	199602	150510	3351325	3560134	2851051
106	391835	133808	139607	2997817	2702117	2833701
101	406579	141529	142934	3024492	2627597	2720655
106	380166	131604	132625	2922948	2772196	2689449
165	395103	136519	147866	3263625	3011657	2880330
99	407121	145256	144706	3055934	2699325	2968993
148	419426	148184	156706	3165951	2684348	2881833
107	399867	140649	147671	3150127	2598454	2735195
99	395158	134118	133357	2933586	2640534	2745577
171	377064	132694	130641	2944347	2755618	2729721
142	386263	134827	135207	2929048	2552750	2683054
114	396001	166583	144689	2901748	2692506	2686821
117	382998	132139	133907	2897533	2624855	2729392
107	395058	134390	138212	2956533	2709753	2827262
105	399739	137408	139581	2952674	2612906	2688655
96	384260	131300	132545	3088668	2677018	2771926
93	378301	134514	136787	2908541	2840392	2963594
97	386032	138097	139895	3015734	2681583	2709324
129	418600	144442	145530	3089099	2788716	2932152
116	411027	144744	144645	3104750	3005655	2926538
102	412890	148970	153539	3351988	2879438	2860413
147	393996	136911	142731	3060679	2662225	2807829
102	412936	150353	139069	3073659	2690858	2863259
108	386815	149205	142328	2962378	2694761	2654342
108	381682	132720	123889	2852167	2577490	2636918
97	378030	126606	126668	2828093	2581843	2619937
107	376123	124219	127171	2835210	2578821	2625814
138	380932	121784	123755	2826978	2571948	2673823
137	368852	128454	130896	2819244	2636033	2596350
132	370338	128189	129618	2781724	2671229	2587060
127	370573	130981	131837	2806279	2506726	2625884
109	362607	129700	122770	2823967	2583780	2598188
169	371647	121765	132124	2797943	2522621	2605687
123	370018	130884	138963	2825724	2642923	2545281
